Name,Constituency,Party
"Kerr, Stephenÿ(Conservative)",Stirling,Conservative
"Khan, Afzalÿ(Labour)","Manchester, Gorton",Labour
"Killen, Gerardÿ(Labour (Co-op))",Rutherglen and Hamilton West,Labour (Co-op)
"Kinnock, Stephenÿ(Labour)",Aberavon,Labour
"Knight, Sir Gregÿ(Conservative)",East Yorkshire,Conservative
"Knight, Julianÿ(Conservative)",Solihull,Conservative
"Kwarteng, Kwasiÿ(Conservative)",Spelthorne,Conservative
"Kyle, Peterÿ(Labour)",Hove,Labour
"Laing, Mrs Eleanorÿ(Conservative)",Epping Forest,Conservative
"Laird, Lesleyÿ(Labour)",Kirkcaldy and Cowdenbeath,Labour
"Lake, Benÿ(Plaid Cymru)",Ceredigion,Plaid Cymru
"Lamb, Normanÿ(Liberal Democrat)",North Norfolk,Liberal Democrat
"Lammy, Mr Davidÿ(Labour)",Tottenham,Labour
"Lamont, Johnÿ(Conservative)","Berwickshire, Roxburgh and Selkirk",Conservative
"Lancaster, Markÿ(Conservative)",Milton Keynes North,Conservative
"Latham, Mrs Paulineÿ(Conservative)",Mid Derbyshire,Conservative
"Lavery, Ianÿ(Labour)",Wansbeck,Labour
"Law, Chrisÿ(Scottish National Party)",Dundee West,Scottish National Party
"Leadsom, Andreaÿ(Conservative)",South Northamptonshire,Conservative
"Lee, Ms Karenÿ(Labour)",Lincoln,Labour
"Lee, Dr Phillipÿ(Conservative)",Bracknell,Conservative
"Lefroy, Jeremyÿ(Conservative)",Stafford,Conservative
"Leigh, Sir Edwardÿ(Conservative)",Gainsborough,Conservative
"Leslie, Mr Chrisÿ(Labour (Co-op))",Nottingham East,Labour (Co-op)
"Letwin, Sir Oliverÿ(Conservative)",West Dorset,Conservative
"Lewell-Buck, Mrs Emmaÿ(Labour)",South Shields,Labour
"Lewer, Andrewÿ(Conservative)",Northampton South,Conservative
"Lewis, Brandonÿ(Conservative)",Great Yarmouth,Conservative
"Lewis, Cliveÿ(Labour)",Norwich South,Labour
"Lewis, Mr Ivanÿ(Labour)",Bury South,Labour
"Lewis, Dr Julianÿ(Conservative)",New Forest East,Conservative
"Liddell-Grainger, Mr Ian(Conservative)",Bridgwater and West Somerset,Conservative
"Lidington, Mr Davidÿ(Conservative)",Aylesbury,Conservative
"Linden, Davidÿ(Scottish National Party)",Glasgow East,Scottish National Party
"Little Pengelly, Emmaÿ(Democratic Unionist Party)",Belfast South,Democratic Unionist Party
"Lloyd, Stephenÿ(Liberal Democrat)",Eastbourne,Liberal Democrat
"Lloyd, Tonyÿ(Labour)",Rochdale,Labour
"Long Bailey, Rebeccaÿ(Labour)",Salford and Eccles,Labour
"Lopresti, Jackÿ(Conservative)",Filton and Bradley Stoke,Conservative
"Lord, Mr Jonathanÿ(Conservative)",Woking,Conservative
"Loughton, Timÿ(Conservative)",East Worthing and Shoreham,Conservative
"Lucas, Carolineÿ(Green Party)","Brighton, Pavilion",Green Party
"Lucas, Ian C.ÿ(Labour)",Wrexham,Labour
"Lynch, Hollyÿ(Labour)",Halifax,Labour
"McCabe, Steveÿ(Labour)","Birmingham, Selly Oak",Labour
"McCallion, Elishaÿ(Sinn F‚in)",Foyle,Sinn F‚in
"McCarthy, Kerryÿ(Labour)",Bristol East,Labour
"McDonagh, Siobhainÿ(Labour)",Mitcham and Morden,Labour
"McDonald, Andyÿ(Labour)",Middlesbrough,Labour
"McDonald, Stewart Malcolm(Scottish National Party)",Glasgow South,Scottish National Party
"McDonald, Stuart C.ÿ(Scottish National Party)","Cumbernauld, Kilsyth and Kirkintilloch East",Scottish National Party
"McDonnell, Johnÿ(Labour)",Hayes and Harlington,Labour
"McElduff, Barryÿ(Sinn F‚in)",West Tyrone,Sinn F‚in
"McFadden, Mr Patÿ(Labour)",Wolverhampton South East,Labour
"McGinn, Conorÿ(Labour)",St Helens North,Labour
"McGovern, Alisonÿ(Labour)",Wirral South,Labour
"McInnes, Lizÿ(Labour)",Heywood and Middleton,Labour
"Mackinlay, Craigÿ(Conservative)",South Thanet,Conservative
"McKinnell, Catherineÿ(Labour)",Newcastle upon Tyne North,Labour
"Maclean, Rachelÿ(Conservative)",Redditch,Conservative
"McLoughlin, Sir Patrick(Conservative)",Derbyshire Dales,Conservative
"McMahon, Jimÿ(Labour (Co-op))",Oldham West and Royton,Labour (Co-op)
"McMorrin, Annaÿ(Labour)",Cardiff North,Labour
"McNally, Johnÿ(Scottish National Party)",Falkirk,Scottish National Party
"MacNeil, Angus Brendanÿ(Scottish National Party)",Na h-Eileanan an Iar,Scottish National Party
"McPartland, Stephen(Conservative)",Stevenage,Conservative
"McVey, Estherÿ(Conservative)",Tatton,Conservative
"Madders, Justinÿ(Labour)",Ellesmere Port and Neston,Labour
"Mahmood, Mr Khalidÿ(Labour)","Birmingham, Perry Barr",Labour
"Mahmood, Shabanaÿ(Labour)","Birmingham, Ladywood",Labour
"Main, Mrs Anneÿ(Conservative)",St Albans,Conservative
"Mak, Alanÿ(Conservative)",Havant,Conservative
"Malhotra, Seemaÿ(Labour (Co-op))",Feltham and Heston,Labour (Co-op)
"Malthouse, Kitÿ(Conservative)",North West Hampshire,Conservative
"Mann, Johnÿ(Labour)",Bassetlaw,Labour
"Mann, Scottÿ(Conservative)",North Cornwall,Conservative
"Marsden, Gordonÿ(Labour)",Blackpool South,Labour
"Martin, Sandyÿ(Labour)",Ipswich,Labour
"Maskell, Rachaelÿ(Labour (Co-op))",York Central,Labour (Co-op)
"Maskey, Paulÿ(Sinn F‚in)",Belfast West,Sinn F‚in
"Masterton, Paulÿ(Conservative)",East Renfrewshire,Conservative
"Matheson, Christianÿ(Labour)",City of Chester,Labour
"May, Mrs Theresaÿ(Conservative)",Maidenhead,Conservative
"Maynard, Paulÿ(Conservative)",Blackpool North and Cleveleys,Conservative
"Mearns, Ianÿ(Labour)",Gateshead,Labour
"Menzies, Markÿ(Conservative)",Fylde,Conservative
"Mercer, Johnnyÿ(Conservative)","Plymouth, Moor View",Conservative
"Merriman, Huwÿ(Conservative)",Bexhill and Battle,Conservative
"Metcalfe, Stephenÿ(Conservative)",South Basildon and East Thurrock,Conservative
"Miliband, Edwardÿ(Labour)",Doncaster North,Labour
"Miller, Mrs Mariaÿ(Conservative)",Basingstoke,Conservative
"Milling, Amandaÿ(Conservative)",Cannock Chase,Conservative
"Mills, Nigelÿ(Conservative)",Amber Valley,Conservative
"Milton, Anneÿ(Conservative)",Guildford,Conservative
"Mitchell, Mr Andrewÿ(Conservative)",Sutton Coldfield,Conservative
"Molloy, Francieÿ(Sinn F‚in)",Mid Ulster,Sinn F‚in
"Monaghan, Carolÿ(Scottish National Party)",Glasgow North West,Scottish National Party
"Moon, Mrs Madeleineÿ(Labour)",Bridgend,Labour
"Moore, Damienÿ(Conservative)",Southport,Conservative
"Moran, Laylaÿ(Liberal Democrat)",Oxford West and Abingdon,Liberal Democrat
"Mordaunt, Pennyÿ(Conservative)",Portsmouth North,Conservative
"Morden, Jessicaÿ(Labour)",Newport East,Labour
"Morgan, Nickyÿ(Conservative)",Loughborough,Conservative
"Morgan, Stephenÿ(Labour)",Portsmouth South,Labour
"Morris, Anne Marieÿ(Conservative)",Newton Abbot,Conservative
"Morris, Davidÿ(Conservative)",Morecambe and Lunesdale,Conservative
"Morris, Grahameÿ(Labour)",Easington,Labour
"Morris, Jamesÿ(Conservative)",Halesowen and Rowley Regis,Conservative
"Morton, Wendyÿ(Conservative)",Aldridge-Brownhills,Conservative
"Mundell, Davidÿ(Conservative)","Dumfriesshire, Clydesdale and Tweeddale",Conservative
"Murray, Ianÿ(Labour)",Edinburgh South,Labour
"Murray, Mrs Sheryllÿ(Conservative)",South East Cornwall,Conservative
"Murrison, Dr Andrewÿ(Conservative)",South West Wiltshire,Conservative
"Nandy, Lisaÿ(Labour)",Wigan,Labour
"Neill, Robertÿ(Conservative)",Bromley and Chislehurst,Conservative
"Newlands, Gavinÿ(Scottish National Party)",Paisley and Renfrewshire North,Scottish National Party
"Newton, Sarahÿ(Conservative)",Truro and Falmouth,Conservative
"Nokes, Carolineÿ(Conservative)",Romsey and Southampton North,Conservative
"Norman, Jesseÿ(Conservative)",Hereford and South Herefordshire,Conservative
"Norris, Alexÿ(Labour (Co-op))",Nottingham North,Labour (Co-op)
"O'Brien, Neilÿ(Conservative)",Harborough,Conservative
"Offord, Dr Matthewÿ(Conservative)",Hendon,Conservative
"O'Hara, Brendanÿ(Scottish National Party)",Argyll and Bute,Scottish National Party
"O'Mara, Jaredÿ(Labour)","Sheffield, Hallam",Labour
"Onasanya, Fionaÿ(Labour)",Peterborough,Labour
"Onn, Melanieÿ(Labour)",Great Grimsby,Labour
"Onwurah, Chiÿ(Labour)",Newcastle upon Tyne Central,Labour
"Opperman, Guyÿ(Conservative)",Hexham,Conservative
"Osamor, Kateÿ(Labour (Co-op))",Edmonton,Labour (Co-op)
"Owen, Albertÿ(Labour)",Ynys M“n,Labour
"Paisley, Ianÿ(Democratic Unionist Party)",North Antrim,Democratic Unionist Party
"Parish, Neilÿ(Conservative)",Tiverton and Honiton,Conservative
"Patel, Pritiÿ(Conservative)",Witham,Conservative
"Paterson, Mr Owenÿ(Conservative)",North Shropshire,Conservative
"Pawsey, Markÿ(Conservative)",Rugby,Conservative
"Peacock, Stephanieÿ(Labour)",Barnsley East,Labour
"Pearce, Teresaÿ(Labour)",Erith and Thamesmead,Labour
"Penning, Mikeÿ(Conservative)",Hemel Hempstead,Conservative
"Pennycook, Matthewÿ(Labour)",Greenwich and Woolwich,Labour
"Penrose, Johnÿ(Conservative)",Weston-super-Mare,Conservative
"Percy, Andrewÿ(Conservative)",Brigg and Goole,Conservative
"Perkins, Tobyÿ(Labour)",Chesterfield,Labour
"Perry, Claireÿ(Conservative)",Devizes,Conservative
"Phillips, Jessÿ(Labour)","Birmingham, Yardley",Labour
"Phillipson, Bridgetÿ(Labour)",Houghton and Sunderland South,Labour
"Philp, Chrisÿ(Conservative)",Croydon South,Conservative
"Pidcock, Lauraÿ(Labour)",North West Durham,Labour
"Pincher, Christopherÿ(Conservative)",Tamworth,Conservative
