Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA1 4WE,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/2002 12:00:00 AM,1/1/2013 12:00:00 AM,57
HA1 4WF,No,51.585237,-0.329686,515821,188697,TQ158886,5/1/2002 12:00:00 AM,10/1/2003 12:00:00 AM,57
HA1 4WG,No,51.590221,-0.341269,515006,189233,TQ150892,1/1/2003 12:00:00 AM,11/1/2003 12:00:00 AM,58
HA1 4WH,No,51.585237,-0.329686,515821,188697,TQ158886,8/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,57
HA1 4WS,Yes,51.583363,-0.357439,513903,188445,TQ139884,5/1/2007 12:00:00 AM,,56
HA1 4WT,Yes,51.583313,-0.357109,513926,188440,TQ139884,5/1/2007 12:00:00 AM,,56
HA1 4WU,No,51.585237,-0.329686,515821,188697,TQ158886,8/1/2004 12:00:00 AM,9/1/2010 12:00:00 AM,57
HA1 4WW,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,57
HA1 4WX,No,51.590221,-0.341269,515006,189233,TQ150892,1/1/2003 12:00:00 AM,11/1/2003 12:00:00 AM,58
HA1 4WY,No,51.590221,-0.341269,515006,189233,TQ150892,6/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,58
HA1 4WZ,Yes,51.585228,-0.329687,515821,188696,TQ158886,5/1/2003 12:00:00 AM,,57
HA1 4XA,Yes,51.589392,-0.342396,514930,189139,TQ149891,1/1/1980 12:00:00 AM,,60
HA1 4XB,Yes,51.590274,-0.341801,514969,189238,TQ149892,1/1/1980 12:00:00 AM,,57
HA1 4XD,Yes,51.58965,-0.342849,514898,189167,TQ148891,1/1/1980 12:00:00 AM,,58
HA1 4XE,Yes,51.590832,-0.341218,515008,189301,TQ150893,1/1/1980 12:00:00 AM,,56
HA1 4XF,Yes,51.590958,-0.343148,514874,189312,TQ148893,1/1/1980 12:00:00 AM,,55
HA1 4XG,Yes,51.591263,-0.343093,514877,189346,TQ148893,1/1/1980 12:00:00 AM,,55
HA1 4XH,Yes,51.590042,-0.343239,514870,189210,TQ148892,1/1/1980 12:00:00 AM,,57
HA1 4XJ,Yes,51.590398,-0.34298,514887,189250,TQ148892,1/1/1980 12:00:00 AM,,56
HA1 4XL,No,51.583722,-0.349054,514483,188498,TQ144884,2/1/1990 12:00:00 AM,1/1/2001 12:00:00 AM,58
HA1 4XN,No,51.583722,-0.349054,514483,188498,TQ144884,6/1/1996 12:00:00 AM,11/1/2000 12:00:00 AM,58
HA1 4XP,No,51.589946,-0.342809,514900,189200,TQ149892,6/1/1998 12:00:00 AM,12/1/1998 12:00:00 AM,57
HA1 4XQ,Yes,51.590693,-0.34219,514941,189284,TQ149892,1/1/1980 12:00:00 AM,,56
HA1 4XR,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1996 12:00:00 AM,6/1/2000 12:00:00 AM,58
HA1 4XS,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,58
HA1 4XT,No,51.585237,-0.329686,515821,188697,TQ158886,1/1/1995 12:00:00 AM,9/1/2006 12:00:00 AM,57
HA1 4XU,No,51.580776,-0.34613,514693,188175,TQ146881,1/1/1980 12:00:00 AM,11/1/2003 12:00:00 AM,65
HA1 4XW,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/1996 12:00:00 AM,5/1/2010 12:00:00 AM,57
HA1 4XX,No,51.583722,-0.349054,514483,188498,TQ144884,6/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,58
