Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA3 5SH,Yes,51.596534,-0.336837,515297,189942,TQ152899,8/1/1993 12:00:00 AM,,58
HA3 5SJ,No,51.597075,-0.338218,515200,190000,TQ152900,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,59
HA3 5SL,No,51.597095,-0.339661,515100,190000,TQ151900,1/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,59
HA3 5SN,No,51.596237,-0.34258,514900,189900,TQ149899,3/1/1982 12:00:00 AM,12/1/1990 12:00:00 AM,59
HA3 5SP,No,51.597545,-0.343457,514836,190044,TQ148900,4/1/1986 12:00:00 AM,10/1/2008 12:00:00 AM,60
HA3 5SQ,No,51.596625,-0.336285,515335,189953,TQ153899,12/1/1994 12:00:00 AM,12/1/1999 12:00:00 AM,58
HA3 5SR,No,51.597175,-0.342113,514930,190005,TQ149900,4/1/1986 12:00:00 AM,11/1/2002 12:00:00 AM,60
HA3 5SS,No,51.596862,-0.342875,514878,189969,TQ148899,4/1/1986 12:00:00 AM,3/1/2017 12:00:00 AM,59
HA3 5SU,No,51.596237,-0.34258,514900,189900,TQ149899,4/1/1986 12:00:00 AM,12/1/1991 12:00:00 AM,59
HA3 5SX,No,51.596237,-0.34258,514900,189900,TQ149899,3/1/1983 12:00:00 AM,12/1/1986 12:00:00 AM,59
HA3 5SY,No,51.596237,-0.34258,514900,189900,TQ149899,4/1/1986 12:00:00 AM,5/1/1994 12:00:00 AM,59
HA3 5SZ,No,51.596237,-0.34258,514900,189900,TQ149899,4/1/1986 12:00:00 AM,12/1/1991 12:00:00 AM,59
HA3 5TA,No,51.596237,-0.34258,514900,189900,TQ149899,4/1/1986 12:00:00 AM,5/1/1994 12:00:00 AM,59
HA3 5TD,No,51.59716,-0.342287,514918,190003,TQ149900,4/1/1986 12:00:00 AM,9/1/2006 12:00:00 AM,60
HA3 5TE,Yes,51.596743,-0.336368,515329,189966,TQ153899,2/1/1990 12:00:00 AM,,58
HA3 5TH,No,51.601732,-0.3496,514400,190500,TQ144905,4/1/1987 12:00:00 AM,12/1/1990 12:00:00 AM,66
HA3 5TJ,Yes,51.596968,-0.344026,514798,189979,TQ147899,1/1/1992 12:00:00 AM,,59
HA3 5TN,No,51.599082,-0.342188,514920,190217,TQ149902,6/1/2000 12:00:00 AM,4/1/2001 12:00:00 AM,62
HA3 5TT,No,51.595318,-0.34117,515000,189800,TQ150898,6/1/1999 12:00:00 AM,10/1/2000 12:00:00 AM,57
HA3 5TW,No,51.599082,-0.342188,514920,190217,TQ149902,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,62
HA3 5TX,No,51.595318,-0.34117,515000,189800,TQ150898,1/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,57
HA3 5TZ,No,51.599082,-0.342188,514920,190217,TQ149902,12/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,62
HA3 5UB,Yes,51.594271,-0.337093,515285,189690,TQ152896,10/1/2005 12:00:00 AM,,56
HA3 5UF,No,51.599065,-0.342232,514917,190215,TQ149902,6/1/1996 12:00:00 AM,12/1/1998 12:00:00 AM,62
HA3 5UJ,No,51.599065,-0.342232,514917,190215,TQ149902,12/1/1996 12:00:00 AM,12/1/1998 12:00:00 AM,62
HA3 5UP,No,51.599082,-0.342188,514920,190217,TQ149902,6/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,62
HA3 5UQ,No,51.599082,-0.342188,514920,190217,TQ149902,12/1/1996 12:00:00 AM,11/1/2000 12:00:00 AM,62
HA3 5UR,No,51.599082,-0.342188,514920,190217,TQ149902,12/1/1998 12:00:00 AM,11/1/2000 12:00:00 AM,62
HA3 5UT,No,51.596707,-0.336355,515330,189962,TQ153899,12/1/1997 12:00:00 AM,12/1/2008 12:00:00 AM,58
HA3 5UU,Yes,51.597109,-0.343804,514813,189995,TQ148899,12/1/1997 12:00:00 AM,,59
HA3 5UW,No,51.599065,-0.342232,514917,190215,TQ149902,6/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,62
HA3 5UY,No,51.599082,-0.342188,514920,190217,TQ149902,12/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,62
HA3 5XF,No,51.595318,-0.34117,515000,189800,TQ150898,5/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,57
HA3 5ZB,No,51.596393,-0.342748,514888,189917,TQ148899,4/1/2004 12:00:00 AM,10/1/2005 12:00:00 AM,59
HA3 5ZD,No,51.596393,-0.342748,514888,189917,TQ148899,4/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,59
HA3 5ZN,No,51.596393,-0.342748,514888,189917,TQ148899,2/1/2003 12:00:00 AM,7/1/2004 12:00:00 AM,59
HA3 5ZZ,No,51.596393,-0.342748,514888,189917,TQ148899,12/1/1996 12:00:00 AM,9/1/2006 12:00:00 AM,59
HA3 6AA,Yes,51.604759,-0.327815,515901,190871,TQ159908,1/1/1980 12:00:00 AM,,70
HA3 6AB,Yes,51.605939,-0.328551,515847,191001,TQ158910,1/1/1980 12:00:00 AM,,71
HA3 6AD,Yes,51.607669,-0.329412,515783,191192,TQ157911,1/1/1980 12:00:00 AM,,78
HA3 6AE,Yes,51.608813,-0.329558,515770,191319,TQ157913,1/1/1980 12:00:00 AM,,83
HA3 6AF,Yes,51.609423,-0.329449,515776,191387,TQ157913,1/1/1980 12:00:00 AM,,84
HA3 6AG,Yes,51.611169,-0.330237,515717,191580,TQ157915,1/1/1980 12:00:00 AM,,86
HA3 6AH,Yes,51.611987,-0.331449,515631,191669,TQ156916,1/1/1980 12:00:00 AM,,87
HA3 6AJ,Yes,51.61012,-0.331662,515621,191461,TQ156914,1/1/1980 12:00:00 AM,,81
HA3 6AL,Yes,51.611264,-0.331822,515607,191588,TQ156915,1/1/1980 12:00:00 AM,,85
HA3 6AN,Yes,51.609704,-0.330868,515677,191416,TQ156914,1/1/1980 12:00:00 AM,,81
HA3 6AP,Yes,51.609819,-0.330113,515729,191430,TQ157914,1/1/1980 12:00:00 AM,,83
HA3 6AQ,Yes,51.612729,-0.331161,515649,191752,TQ156917,1/1/1980 12:00:00 AM,,90
HA3 6AR,Yes,51.60874,-0.330138,515730,191310,TQ157913,1/1/1980 12:00:00 AM,,81
HA3 6AS,Yes,51.606214,-0.329581,515775,191030,TQ157910,1/1/1980 12:00:00 AM,,72
HA3 6AT,Yes,51.605696,-0.329152,515806,190973,TQ158909,1/1/1980 12:00:00 AM,,70
HA3 6AU,Yes,51.607477,-0.330502,515708,191169,TQ157911,12/1/1981 12:00:00 AM,,76
HA3 6AW,Yes,51.610734,-0.330614,515692,191531,TQ156915,1/1/1980 12:00:00 AM,,84
HA3 6AX,Yes,51.60839,-0.330786,515686,191270,TQ156912,6/1/1981 12:00:00 AM,,79
HA3 6AY,Yes,51.608137,-0.330117,515733,191243,TQ157912,10/1/1985 12:00:00 AM,,80
HA3 6AZ,No,51.608167,-0.343648,514796,191225,TQ147912,6/1/1996 12:00:00 AM,12/1/1997 12:00:00 AM,80
HA3 6BA,Yes,51.604816,-0.326744,515975,190879,TQ159908,12/1/2001 12:00:00 AM,,71
HA3 6BB,Yes,51.608437,-0.337298,515235,191265,TQ152912,1/1/1980 12:00:00 AM,,86
HA3 6BD,Yes,51.607859,-0.339673,515072,191197,TQ150911,1/1/1980 12:00:00 AM,,81
HA3 6BE,Yes,51.607633,-0.338916,515125,191173,TQ151911,1/1/1980 12:00:00 AM,,81
HA3 6BF,Yes,51.606713,-0.336855,515270,191074,TQ152910,5/1/2006 12:00:00 AM,,76
HA3 6BG,Yes,51.607028,-0.338115,515182,191107,TQ151911,1/1/1980 12:00:00 AM,,79
HA3 6BH,Yes,51.609002,-0.335284,515373,191331,TQ153913,1/1/1980 12:00:00 AM,,86
HA3 6BJ,Yes,51.609379,-0.333364,515505,191376,TQ155913,1/1/1980 12:00:00 AM,,83
HA3 6BL,No,51.609596,-0.333428,515500,191400,TQ155914,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,84
HA3 6BN,Yes,51.608128,-0.333886,515472,191236,TQ154912,1/1/1980 12:00:00 AM,,78
HA3 6BP,Yes,51.608321,-0.332897,515540,191259,TQ155912,1/1/1980 12:00:00 AM,,77
HA3 6BQ,Yes,51.60796,-0.337286,515237,191212,TQ152912,1/1/1980 12:00:00 AM,,83
HA3 6BS,Yes,51.61001,-0.334106,515452,191445,TQ154914,1/1/1980 12:00:00 AM,,87
HA3 6BT,Yes,51.611325,-0.332961,515528,191593,TQ155915,1/1/1980 12:00:00 AM,,88
HA3 6BU,Yes,51.611332,-0.334072,515451,191592,TQ154915,1/1/1980 12:00:00 AM,,91
HA3 6BW,Yes,51.608088,-0.332328,515580,191234,TQ155912,1/1/1980 12:00:00 AM,,76
