Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
SE6 3LP,Yes,51.427647,-0.026593,537291,171696,TQ372716,1/1/1980 12:00:00 AM,,37
SE6 3LR,Yes,51.428264,-0.028494,537157,171761,TQ371717,1/1/1980 12:00:00 AM,,34
SE6 3LS,Yes,51.429084,-0.03076,536997,171848,TQ369718,1/1/1980 12:00:00 AM,,29
SE6 3LT,Yes,51.42955,-0.030625,537005,171900,TQ370719,1/1/1980 12:00:00 AM,,29
SE6 3LU,Yes,51.42873,-0.031063,536977,171808,TQ369718,1/1/1980 12:00:00 AM,,28
SE6 3LW,Yes,51.427945,-0.03091,536990,171721,TQ369717,1/1/1980 12:00:00 AM,,27
SE6 3ND,Yes,51.427222,-0.030164,537044,171642,TQ370716,1/1/1980 12:00:00 AM,,28
SE6 3NE,Yes,51.426817,-0.028585,537155,171600,TQ371716,1/1/1980 12:00:00 AM,,32
SE6 3NF,Yes,51.427386,-0.030833,536997,171659,TQ369716,1/1/1980 12:00:00 AM,,27
SE6 3NG,Yes,51.425785,-0.031377,536964,171480,TQ369714,1/1/1980 12:00:00 AM,,25
SE6 3NH,Yes,51.425807,-0.030009,537059,171485,TQ370714,1/1/1980 12:00:00 AM,,26
SE6 3NJ,Yes,51.424542,-0.027489,537238,171349,TQ372713,1/1/1980 12:00:00 AM,,28
SE6 3NL,Yes,51.425628,-0.026867,537278,171471,TQ372714,1/1/1980 12:00:00 AM,,34
SE6 3NN,Yes,51.425667,-0.027527,537232,171474,TQ372714,1/1/1980 12:00:00 AM,,31
SE6 3NQ,Yes,51.425281,-0.028665,537154,171429,TQ371714,1/1/1980 12:00:00 AM,,26
SE6 3NW,Yes,51.424308,-0.026967,537275,171324,TQ372713,10/1/1985 12:00:00 AM,,31
SE6 3PA,No,51.430012,-0.02229,537583,171967,TQ375719,12/1/1994 12:00:00 AM,6/1/1998 12:00:00 AM,25
SE6 3PU,Yes,51.423607,-0.015792,538054,171267,TQ380712,1/1/1980 12:00:00 AM,,33
SE6 3QA,Yes,51.424227,-0.019505,537794,171329,TQ377713,1/1/1980 12:00:00 AM,,38
SE6 3QB,Yes,51.424765,-0.018849,537838,171390,TQ378713,1/1/1980 12:00:00 AM,,35
SE6 3QD,Yes,51.424594,-0.019935,537763,171369,TQ377713,1/1/1980 12:00:00 AM,,38
SE6 3QE,Yes,51.424561,-0.020598,537717,171364,TQ377713,1/1/1980 12:00:00 AM,,40
SE6 3QF,Yes,51.424639,-0.020997,537689,171372,TQ376713,1/1/1980 12:00:00 AM,,40
SE6 3QG,No,51.430012,-0.02229,537583,171967,TQ375719,5/1/1994 12:00:00 AM,6/1/1998 12:00:00 AM,25
SE6 3QH,Yes,51.426161,-0.025405,537378,171533,TQ373715,4/1/1985 12:00:00 AM,,39
SE6 3QJ,Yes,51.425326,-0.02442,537449,171442,TQ374714,4/1/1985 12:00:00 AM,,41
