Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
UB5 6SF,No,51.533082,-0.379074,512528,182820,TQ125828,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,32,51,16
UB5 6SG,Yes,51.533806,-0.378746,512549,182901,TQ125829,1/1/1980 12:00:00 AM,,32,58,24
UB5 6SH,Yes,51.534897,-0.378332,512575,183023,TQ125830,1/1/1980 12:00:00 AM,,33,24,11
UB5 6SJ,Yes,51.535459,-0.37793,512601,183086,TQ126830,7/1/2017 12:00:00 AM,,33,101,24
UB5 6SL,Yes,51.535624,-0.378112,512588,183104,TQ125831,1/1/1980 12:00:00 AM,,33,14,10
UB5 6SN,No,51.534063,-0.388252,511889,182915,TQ118829,1/1/1993 12:00:00 AM,7/1/2001 12:00:00 AM,35,,
UB5 6SP,Yes,51.53522,-0.3776,512625,183060,TQ126830,1/1/2014 12:00:00 AM,,33,,
UB5 6SQ,Yes,51.534396,-0.378494,512565,182967,TQ125829,1/1/1980 12:00:00 AM,,32,72,23
UB5 6SR,Yes,51.533429,-0.378802,512546,182859,TQ125828,3/1/2014 12:00:00 AM,,32,,
UB5 6SS,Yes,51.533278,-0.379615,512490,182841,TQ124828,5/1/2014 12:00:00 AM,,32,,
UB5 6ST,Yes,51.533091,-0.379009,512532,182821,TQ125828,3/1/2014 12:00:00 AM,,32,,
UB5 6SU,Yes,51.536186,-0.378517,512559,183166,TQ125831,12/1/2014 12:00:00 AM,,33,,
UB5 6SW,Yes,51.535854,-0.378615,512553,183129,TQ125831,12/1/2014 12:00:00 AM,,33,,
UB5 6SX,No,51.535604,-0.379388,512500,183100,TQ125830,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,31,,
UB5 6SY,No,51.535604,-0.379388,512500,183100,TQ125830,1/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,31,,
UB5 6SZ,No,51.534063,-0.388252,511889,182915,TQ118829,2/1/1990 12:00:00 AM,12/1/1997 12:00:00 AM,35,,
UB5 6TA,Yes,51.536432,-0.369078,513213,183208,TQ132832,1/1/1980 12:00:00 AM,,33,26,8
UB5 6TB,Yes,51.536528,-0.369507,513183,183218,TQ131832,1/1/1980 12:00:00 AM,,34,35,12
UB5 6TD,Yes,51.536552,-0.369953,513152,183220,TQ131832,1/1/1980 12:00:00 AM,,34,47,13
UB5 6TE,Yes,51.536577,-0.370457,513117,183222,TQ131832,1/1/1980 12:00:00 AM,,33,40,14
UB5 6TF,Yes,51.535631,-0.370909,513088,183116,TQ130831,1/1/1980 12:00:00 AM,,33,58,22
UB5 6TG,Yes,51.53662,-0.370903,513086,183226,TQ130832,1/1/1980 12:00:00 AM,,33,39,15
UB5 6TH,Yes,51.535927,-0.369572,513180,183151,TQ131831,1/1/1980 12:00:00 AM,,33,47,16
UB5 6TJ,Yes,51.535788,-0.369981,513152,183135,TQ131831,1/1/1980 12:00:00 AM,,33,46,19
UB5 6TL,Yes,51.536731,-0.369846,513159,183240,TQ131832,1/1/1980 12:00:00 AM,,34,20,11
UB5 6TN,Yes,51.537146,-0.369975,513149,183286,TQ131832,1/1/1980 12:00:00 AM,,34,48,27
UB5 6TP,Yes,51.537743,-0.36893,513220,183354,TQ132833,1/1/1980 12:00:00 AM,,34,65,19
UB5 6TQ,Yes,51.53609,-0.369061,513215,183170,TQ132831,1/1/1980 12:00:00 AM,,33,29,13
UB5 6TR,Yes,51.538048,-0.370188,513132,183386,TQ131833,7/1/1990 12:00:00 AM,,36,26,14
UB5 6TS,Yes,51.537754,-0.36844,513254,183356,TQ132833,1/1/1980 12:00:00 AM,,34,28,11
UB5 6TT,Yes,51.537647,-0.367218,513339,183346,TQ133833,1/1/1980 12:00:00 AM,,34,83,32
UB5 6TU,Yes,51.537511,-0.36581,513437,183333,TQ134833,1/1/1980 12:00:00 AM,,32,31,16
UB5 6TW,Yes,51.537529,-0.369673,513169,183329,TQ131833,1/1/1980 12:00:00 AM,,35,102,49
UB5 6TX,Yes,51.537261,-0.367895,513293,183302,TQ132833,1/1/1980 12:00:00 AM,,34,79,39
UB5 6TY,Yes,51.537246,-0.366785,513370,183302,TQ133833,1/1/1980 12:00:00 AM,,33,73,30
UB5 6TZ,Yes,51.537748,-0.367358,513329,183357,TQ133833,1/1/1980 12:00:00 AM,,33,31,12
UB5 6UA,Yes,51.537697,-0.366293,513403,183353,TQ134833,1/1/1980 12:00:00 AM,,32,18,9
UB5 6UB,Yes,51.536922,-0.368066,513282,183264,TQ132832,1/1/1980 12:00:00 AM,,33,106,30
UB5 6UD,Yes,51.537067,-0.366215,513410,183283,TQ134832,1/1/1980 12:00:00 AM,,32,103,32
UB5 6UE,Yes,51.536574,-0.367646,513312,183226,TQ133832,1/1/1980 12:00:00 AM,,33,73,29
UB5 6UF,Yes,51.536573,-0.366261,513408,183228,TQ134832,1/1/1980 12:00:00 AM,,32,76,27
UB5 6UG,Yes,51.536224,-0.36835,513264,183186,TQ132831,1/1/1980 12:00:00 AM,,33,52,27
UB5 6UH,Yes,51.537609,-0.371559,513038,183335,TQ130833,6/1/1981 12:00:00 AM,,34,90,44
UB5 6UJ,Yes,51.537088,-0.37289,512947,183275,TQ129832,6/1/1981 12:00:00 AM,,35,61,23
UB5 6UL,Yes,51.537793,-0.373788,512883,183352,TQ128833,6/1/1981 12:00:00 AM,,35,23,12
UB5 6UN,Yes,51.538038,-0.37463,512824,183378,TQ128833,6/1/1981 12:00:00 AM,,36,25,8
UB5 6UP,Yes,51.537827,-0.374998,512799,183354,TQ127833,6/1/1981 12:00:00 AM,,35,51,16
UB5 6UQ,Yes,51.538293,-0.372256,512988,183410,TQ129834,6/1/1981 12:00:00 AM,,35,106,45
UB5 6UR,Yes,51.538562,-0.37415,512856,183437,TQ128834,6/1/1981 12:00:00 AM,,35,101,40
