Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
IG1 3YP,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2002 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3YQ,No,51.55807,0.072373,543760,186389,TQ437863,12/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3YT,No,51.55807,0.072373,543760,186389,TQ437863,3/1/2004 12:00:00 AM,8/1/2005 12:00:00 AM,16,,
IG1 3YZ,No,51.55807,0.072373,543760,186389,TQ437863,7/1/2002 12:00:00 AM,9/1/2003 12:00:00 AM,16,,
IG1 3ZA,No,51.566927,0.059645,542850,187349,TQ428873,12/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,14,,
IG1 3ZQ,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2002 12:00:00 AM,2/1/2012 12:00:00 AM,16,,
IG1 4AA,Yes,51.564324,0.082786,544462,187105,TQ444871,1/1/1980 12:00:00 AM,,14,53,22
IG1 4AB,Yes,51.565662,0.08341,544501,187255,TQ445872,1/1/1980 12:00:00 AM,,14,69,19
IG1 4AD,Yes,51.566568,0.083581,544510,187356,TQ445873,1/1/1980 12:00:00 AM,,15,97,24
IG1 4AE,Yes,51.566496,0.084083,544545,187349,TQ445873,1/1/1980 12:00:00 AM,,15,36,10
IG1 4AF,Yes,51.565251,0.083767,544527,187210,TQ445872,1/1/1980 12:00:00 AM,,14,68,20
IG1 4AG,Yes,51.565242,0.085324,544635,187212,TQ446872,1/1/1980 12:00:00 AM,,15,84,22
IG1 4AH,Yes,51.565956,0.086641,544724,187294,TQ447872,1/1/1980 12:00:00 AM,,14,89,25
IG1 4AJ,Yes,51.565886,0.085008,544611,187283,TQ446872,1/1/1980 12:00:00 AM,,14,121,27
IG1 4AL,Yes,51.565212,0.090503,544994,187219,TQ449872,1/1/1980 12:00:00 AM,,14,80,22
IG1 4AN,Yes,51.564909,0.090359,544985,187185,TQ449871,1/1/1980 12:00:00 AM,,14,61,22
IG1 4AP,Yes,51.56592,0.089136,544897,187295,TQ448872,1/1/1980 12:00:00 AM,,15,50,14
IG1 4AQ,No,51.56427,0.083332,544500,187100,TQ444871,12/1/1999 12:00:00 AM,10/1/2003 12:00:00 AM,14,,
IG1 4AR,Yes,51.565906,0.090463,544989,187296,TQ449872,1/1/1980 12:00:00 AM,,15,169,44
IG1 4AS,Yes,51.56673,0.09063,544998,187388,TQ449873,1/1/1980 12:00:00 AM,,15,40,14
IG1 4AT,Yes,51.567045,0.085566,544646,187413,TQ446874,1/1/1980 12:00:00 AM,,14,146,39
IG1 4AU,Yes,51.566757,0.087068,544751,187384,TQ447873,1/1/1980 12:00:00 AM,,14,62,15
IG1 4AW,No,51.55807,0.072373,543760,186389,TQ437863,1/1/1993 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
